34685	it is it 's great	NONE	NONE	D D O O O
29017	and it 's like why do we need this	NONE	NONE	O O O O O O O O O
3360	and they 're none of them are recent	NONE	NONE	O D D O O O O O
1917	that can not be it could be recycled	NONE	NONE	D D D D O O O O
22416	in fact it 's i think it 's on tonight	NONE	NONE	O O D D O O O O O O
31925	but it 's it is instrumental	NONE	NONE	O D D O O O
33150	and i 'm this is kind of groedy	NONE	NONE	O O O O O O O O
8995	did you like do you use credit cards	NONE	NONE	D D D O O O O O
15226	we 're not i do n't	NONE	NONE	O O O O O O
5184	and it 's it it 's something you can all	NONE	NONE	O D D D O O O O O O
